0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,9,1,7,0,0,0,0,0,0,7,0,7,45501738.44860161,0.0,92100000.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,7,0,547784520.769258,0.0,30700000.0
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,0,0,0,1,9,0,0,0,0,0,0,0,4,7,3,0.0,0.0,334500000.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,9,1,6,0,0,0,0,0,0,5,5,5,222843702.85554644,0.0,61400000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6,6,3,0,0,0,0,0,5,4,1,97573298.05622953,24198032.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,6,7,7,3,0,0,0,0,0,2,6,4,0.0,24198032.0,30700000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,0,0,0,5,3,7,1455894064.6861262,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,9,5,1,0,0,0,0,0,1,6,3,222843702.85554644,20299287.0,30700000.0
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0,0,0,4,6,7,0,0,0,0,0,0,4,5,8,20127960.955754492,0.0,213300000.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0,0,5,7,0,1,0,0,0,0,0,4,5,4,0.0,20299287.0,92100000.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,6,2,7,0.0,26403379.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,5,1,0,0,0,0,0,5,4,6,552748190.8489962,20299287.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,6,2,0,0,0,0,0,2,1,6,316279801.34715974,22167818.0,0.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,7,10,2,0,0,0,0,0,1,2,7,0.0,22167818.0,61400000.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,7,8,2,0,0,0,0,0,2,5,3,68545976.10577747,22167818.0,30700000.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,3,1,0,0,0,0,0,7,7,4,68545976.10577747,20299287.0,61400000.0
